No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
3020,鶏ハム,256.5,492,48.81,29.04,3.31
3021,カマンベールハンバーグ,235,484,30.93,30.34,17.91
3022,豚しゃぶ,664.75,479,32.71,29.05,16.75
3023,ポテサラハンバーグ,270,478,28.03,28.54,24.3
3024,チーズ卵焼き,176,436,22.93,33.72,6.78
3025,照り焼きハンバーグ,226,434,26.53,24.16,22.53
3026,ガーリックハンバーグ,216,415,26.5,24.26,19.27
3027,ラムしゃぶ,664.75,412,32.24,21.87,16.75
3028,チーズリゾット,371.3,405,16.52,19.94,37.95
3029,棒棒鶏,291.8,400,28.65,25.82,13.31
3030,ツナ卵焼き,169,395,20.08,30.88,6.34
3031,コンビーフオムレツ,183.5,385,24.75,29.75,1.56
3032,コンビーフ卵焼き,165,366,19.72,27.6,6.73
3033,鮭ハンバーグ,223.5,358,31.33,20.52,9.07
3034,きんぴら卵焼き,169,352,15.21,25.52,11.71
3035,鮭フレーク卵焼き,160.4,350,18.01,25.66,8.05
3036,ひき肉卵焼き,159,347,18.03,25.6,7.55
3037,枝豆卵焼き,160,342,17.1,25.6,8.06
3038,カニカマ卵焼き,170,342,18.39,24.51,9.08
3039,じゃがいも卵焼き,159,339,15.39,25.82,8.52
3040,チキンクリームシチュー,280.2,333,16.53,23.96,10.45
3041,エビ餃子,192,330,18.16,14.78,28.36
3042,チーズハンバーグ,138,328,20.05,20.76,14.99
3043,トマト卵焼き,195,326,15.15,24.41,8.89
3044,ネギ卵焼き,168.5,324,14.9,24.38,8.36
3045,オクラ卵焼き,158,321,15.14,24.4,7.51
3046,ニラ卵焼き,160,318,15.1,24.42,7.1
3047,ほうれん草卵焼き,150,317,14.99,24.41,6.62
3048,シーフードシチュー,365.2,307,31.3,14.21,10.77
3049,マグロハンバーグ,159.2,298,30.15,15.9,5.6
3050,石狩鍋,675,297,27.34,7.83,26.06
3051,さわらの味噌煮,305,287,19.7,8.85,24.13
3052,鮭シチュー,280.2,283,21.58,16.36,10.54
3053,アボカドエビグラタン,130.7,282,16.49,22.45,3.93
3054,鮭のクリーム煮,257.7,260,22.68,12.83,12.94
3055,さつまいもシチュー,264.2,256,8.03,15.17,21.11
3056,酢イカ,278,245,40.39,3.17,10.76
3057,はんぺんチーズ焼き,151,242,18.01,12.22,14.03
3058,きのこシチュー,326.2,235,10.5,15.56,16.83
3059,コンビーフパテ,80.5,208,12.42,16.43,1.87
3060,カマンベール味噌汁,205.4,134,8.01,8.61,5.32
3061,きのこ卵とじ,186.8,103,8.65,4.97,8.69
3062,豆腐の味噌汁,202,53,3.62,1.62,5.51
3063,味噌汁,172,31,1.63,0.36,5.02
3064,ガランティーヌ,455.2,956,74.83,66.1,11.93
3065,クスクス,213.6,568,14.63,14.25,89.5
3066,ベーコンポテトパイ,194.9,548,7.99,35.98,45.57
3067,アルフレッドソース,189,518,21.3,42.37,9.7
3068,カツ卵とじ,242.4,485,26.3,32.65,16.65
3069,にしん甘露煮,307.5,477,29.83,24.97,18.79
3070,チーズナン,142.3,444,13.72,9.73,71.46
3071,テルミドール,303.8,441,20.66,29.32,21.81
3072,サーロインステーキ,129.2,413,17.49,34.81,0.85
3073,はんぺんフライ,194.1,410,20.5,26.84,19.39
3074,穴子蒲焼き,189.2,407,20.72,22.25,22.29
3075,にしん塩焼き,168,356,28.71,24.91,0.17
3076,サラダチキン,314.2,355,67.49,4.62,6.69
3077,よだれ鶏,177,354,20.48,17.61,24.66
3078,ネギトロ,120,349,20.5,27.56,1.18
3079,さんま甘露煮,203.25,339,14.47,17.03,20.04
3080,スモークチキン,308,330,67.11,4.62,1.32
3081,タプナード,108.9,320,5.19,29.82,7.44
3082,ラタトゥイユ,401.4,309,7.51,22.52,20.91
3083,おからコロッケ,134.2,305,10.08,20.81,17.63
3084,野菜あんかけ,419.3,302,8.51,21.22,17.32
3085,プルドポーク,261.5,301,18.46,19.38,11.51
3086,いわし甘露煮,214.25,300,17.55,11.18,20.55
3087,おからハンバーグ,185,257,19.06,13.02,14.69
3088,麻辣豆腐,236.7,241,11.55,16.52,10.3
3089,卵の天ぷら,105.6,235,8.34,15.98,12.55
3090,チーズコロッケ,105.5,213,4.07,12.19,21.38
3091,鮭フライ,91,208,16.8,11.87,6.34
3092,ごぼうの唐揚げ,122,200,2.18,9.11,27.72
3093,松前漬け,145.17,196,19.53,1.87,25.67
3094,ポトフ,424.2,195,8.02,9.12,22.57
3095,麻辣鍋,469.5,192,18.69,6.01,15.07
3096,生春巻き,110,151,8.98,5.51,16.24
3097,ちくわ磯辺炒め,85.8,149,7.76,4.2,18.09
3098,トラパネーゼソース,162,143,7.76,8.8,9.98
3099,カプレーゼ,117.8,124,5.31,9.11,5.32
3100,カフェラテ,220,110,5.39,6.07,8.1
3101,野菜スープ,434,104,2,6.25,11.11
3102,ソイラテ,200,104,5.2,5.76,7.96
3103,こうじ水,200,96,1.94,0.58,19.72
3104,野菜鍋,584.5,94,5.26,0.35,18.06
3105,たらフライ,50,91,7.4,4.92,3.49
3106,もやしナムル,66,80,2.54,6.75,2.06
3107,揚げシュウマイ,28.8,71,2.91,4.97,3.22
3108,揚げ餃子,17.7,45,1.61,2.45,3.99
3109,おからパウダー,10,42,2.31,1.36,5.23
3110,カクテキ,102,38,0.85,0.87,6.93
3111,白玉だんご,20,37,0.63,0.1,8
3112,黒蜜,18,32,0.15,0,8.07
3113,菜の花からし和え,66.5,29,2.62,0.32,4.81
3114,プルドポーク,261.5,301,18.46,19.38,11.51
3115,いわし明太,107.5,207,21.1,11.95,1.41
3116,ピスタチオ,140,861,24.36,78.54,29.26
3117,ペカン,110,772,10.56,80.74,14.63
3118,ヘーゼルナッツ,110,752,14.96,76.23,15.29
3119,ブラジルナッツ,110,736,16.39,76.01,10.56
3120,ひまわりの種,100,611,20.1,56.3,17.2
3121,かぼちゃの種,100,574,26.5,51.8,12
3122,ジャイアントコーンフライ,120,522,6.84,14.16,91.92
3123,焼き芋,300,489,4.2,0.6,117
3124,塩豆,130,473,30.29,3.12,79.95
3125,あくまき,300,396,6.9,5.4,77.1
3126,おたふく豆,150,377,11.85,1.8,78.3
3127,ざぼん漬,100,344,0.2,0.1,85.5
3128,アイスクリーム,175,315,6.83,14,40.6
3129,アイスミルク,175,292,5.95,11.2,41.83
3130,スルメ,80,267,55.36,3.44,0.32
3131,ふき豆,100,263,9.6,1.6,52.5
3132,ポップコーン,50,242,5.1,11.4,29.8
3133,今川焼き,90,200,3.96,0.99,43.74
3134,ソフトクリーム,130,190,4.94,7.28,26.13
3135,ラクトアイス,80,179,2.48,10.88,17.76
3136,かやの実,25,166,2.18,16.23,5.65
3137,シャーベット,120,152,1.08,1.2,34.44
3138,葛切り,100,135,0.1,0.1,33.3
3139,カシューナッツ,21,121,4.16,10,5.61
3140,干し柿,37,102,0.56,0.63,26.38
3141,さきいか,30,84,13.65,0.93,5.19
3142,アーモンドナッツ,12,73,2.3,6.43,2.68
3143,マカダミアナッツ,10,72,0.83,7.67,1.22
3144,干しバナナ,24,72,0.91,0.1,18.84
3145,いかり豆,15,71,3.71,3.12,6.96
3146,干しぶどう,23.3,70,0.63,0.05,18.8
3147,八つ橋,25,70,1.08,0.13,16.08
3148,松の実,10,69,1.46,7.25,0.81
3149,バターピーナッツ,9,53,2.3,4.62,1.64
3150,栗の甘露煮,20,48,0.36,0.08,11.36
3151,フライビーンズ,10,42,2.08,1.16,5.88
3152,スイカの種,6,33,1.78,2.78,0.8
3153,うぐいす豆,12,29,0.67,0.08,6.35
3154,リュウガン,10,28,0.51,0.04,7.29
3155,スモークタン,10,28,1.81,2.3,0.09
3156,落花生,5,28,1.27,2.38,0.94
3157,乾燥あんず,8,23,0.74,0.03,5.63
3158,さらし鯨,70,22,3.71,0.63,0
3159,乾燥いちじく,7,20,0.28,0.04,5.33
3160,乾燥プルーン,8,19,0.2,0.02,4.99
3161,甘納豆,6,18,0.34,0.04,4.03
3162,スモークサーモン,10,16,2.57,0.55,0.01
3163,ビーフジャーキー,4,13,2.19,0.31,0.26
3164,甘栗,5,11,0.25,0.05,2.43
3165,ナツメヤシ,4,11,0.09,0.01,2.85
3166,ホットケーキ,242,644,14.64,20.33,101.33
3167,月餅,180,643,9.18,15.66,116.28
3168,チョコケーキ,118.8,438,5.76,30.09,35.81
3169,栗きんとん,249.5,424,2.17,0.4,102.82
3170,きびだんご,120,365,2.04,0.36,88.2
3171,ぜんざい,150.5,336,6.5,0.8,74.35
3172,チーズケーキ,88,315,5.44,24.36,16.96
3173,抹茶アイス,145,294,6.47,17.6,27.38
3174,チョコレート,50,279,3.45,17.05,27.9
3175,ベーコンエッグ,102.5,276,12.07,24.29,0.63
3176,カスタードクリーム,152,268,6.92,9.67,37.41
3177,大福,96,232,4.38,0.66,50.91
3178,ドーナツ,59.74,224,3.09,8.92,31.96
3179,たいやき,94.9,220,5.4,3.25,41.52
3180,ワッフル,58.2,212,3.24,7.63,31.34
3181,パンナコッタ,88.05,211,2.28,16.19,14
3182,今川焼き,90,200,3.96,0.99,43.74
3183,焼き鳥,100,197,15.05,12.6,3.45
3184,おはぎ,67.26,180,4.63,0.61,38.62
3185,どら焼き,63.4,172,3.99,3.18,30.89
3186,きんつば,65,172,3.45,0.46,38.48
3187,かしわもち,80,165,3.2,0.32,37.36
3188,あん団子,80,161,3.04,0.32,36.4
3189,カステラ,50,160,3.1,2.3,31.6
3190,みたらし団子,80,158,2.48,0.32,36.16
3191,水ようかん,211,156,7.34,0.44,30.28
3192,シュークリーム,78.7,155,3.77,6.99,18.46
3193,いちご大福,81.5,148,2.49,0.33,33.1
3194,まんじゅう,48.6,132,2.57,0.34,29.5
3195,求肥,50,129,0.65,0.1,31.25
3196,マドレーヌ,28.1,118,1.67,7.59,10.13
3197,ごま団子,33.6,118,1.93,6.2,13.53
3198,錦玉羹,40,115,0,0,28.8
3199,かるかん,50,115,1.05,0.15,27.35
3200,草餅,50,115,2.1,0.2,26.05
3201,スイートポテト,50,113,0.7,4.7,16.47
3202,鹿の子餅,40,106,1.92,0.16,24.16
3203,くずまんじゅう,49,99,1.97,0.13,22.94
3204,フルーツポンチ,200,98,0.68,0.12,25.18
3205,うぐいす餅,40,96,1.44,0.16,22.28
3206,もなか,37.1,86,1.85,0.22,19.14
3207,切山椒,30,74,0.63,0.09,17.79
3208,ういろう,40,73,0.44,0.08,17.64
3209,ゆずシャーベット,126,59,0.3,0.08,15.84
3210,クッキー,11.25,48,0.58,2.44,5.66
3211,チョコクッキー,9.2,47,0.48,2.47,5.11
3212,せんべい,22.1,42,0.9,0.1,8.98
3213,コーヒーゼリー,88.25,34,1.26,0,7.5
3214,ビスケット,9.15,33,0.37,0.71,5.97
3215,わらび餅,16,27,0.71,0.47,5.05
3216,あげいも,279,636,7.62,31.11,78.87
3217,クレープ,203.6,566,6.45,39.76,45.52
3218,ザッハトルテ,145.75,513,5.41,23.79,68.84
3219,フルーツパフェ,308,485,7.52,20.08,69.48
3220,チョコケーキ,118.8,438,5.76,30.09,35.81
3221,モンブラン,118.6,425,2.54,22.12,51.28
3222,ブッシュドノエル,129.7,415,6.47,30.67,26.71
3223,ティラミス,136,381,7.34,23.49,35.9
3224,ムース,86.7,369,5.38,25.46,28.85
3225,ショートケーキ,118.8,366,4.59,25.3,29.05
3226,レアチーズケーキ,92.4,348,4.89,28.48,16.76
3227,シブースト,138.3,319,4.74,14.02,43.45
3228,五平餅,167,304,5.36,2.84,62.49
3229,ミルフィーユ,147.7,294,4.93,15.12,33.63
3230,ガトーショコラ,76.7,273,5.75,15.14,30.78
3231,スフレチーズケーキ,95.4,252,6.94,17.55,15.45
3232,ロールケーキ,95.55,251,5,17.14,18.62
3233,シャルロット,132,249,6.52,9.54,34.33
3234,ブランデーケーキ,67.3,225,2.6,11.88,22.15
3235,フロランタン,46.5,223,3.07,13.99,21.6
3236,いきなり団子,116.2,218,3.74,0.6,48.44
3237,タルトタタン,90.8,215,1.46,10.86,28.11
3238,マーブルケーキ,59.7,213,3.5,11.73,22.93
3239,エッグタルト,53.1,204,2.52,13.8,16.14
3240,雛あられ,60.5,203,1.34,5.76,36.1
3241,バームクーヘン,56.3,203,2.7,13.87,16.44
3242,バナナブレッド,72.5,197,3.65,8.65,26.73
3243,エクレア,81.1,197,4.3,10.68,20.28
3244,かりんとう,63.15,197,3.13,5.21,33.65
3245,おやき,176,185,3.41,5.07,30.31
3246,クラフティ,72.7,185,1.78,9.17,23.22
3247,カップケーキ,44.6,176,2.31,9.62,19.43
3248,ブッセ,48,150,2.78,7.57,17.48
3249,シフォンケーキ,49.6,144,3.36,6.71,16.46
3250,フィナンシェ,38,143,1.79,8.4,14.62
3251,みつ豆,216,136,2.53,0.39,31.28
3252,ヨークシャープディング,61.6,126,3.28,6.36,13.09
3253,あられ,42.5,124,1.6,4.1,19.11
3254,マチェドニア,165,106,0.76,0.13,20.11
3255,いももち,55.5,86,0.94,2.67,14.82
3256,トリュフチョコレート,16.8,83,1.15,5.97,7.05
3257,ブラウニー,19.4,79,1.42,5.7,6.12
3258,ガナッシュ,15,78,0.79,5.66,5.74
3259,ベニエ,19.3,71,0.84,2.94,9.59
3260,ロッシェ,10.9,63,1.17,4.44,4.78
3261,カリカリチーズ,18,61,4.09,4.68,0.23
3262,ラスク,15,58,0.96,2.56,7.76
3263,ビスコッティ,12.5,50,0.9,1.04,9.2
3264,ずんだ餅,20.2,41,1.26,0.55,7.68
3265,寒天ゼリー,79.75,40,0.48,0.09,11.65
3266,バナナパンケーキ,265,663,14.89,20.38,106.5
3267,チョコレートパフェ,191,536,8.94,29.38,60.89
3268,いちごパフェ,218,425,6.93,19.99,54.74
3269,ズコット,129.3,423,8.06,26.83,36.04
3270,あんドーナツ,115,399,4.49,8.3,77.02
3271,ムース,86.7,369,5.38,25.46,28.85
3272,ベリーショートケーキ,122.1,368,4.6,25.3,29.5
3273,チョコタルト,77.2,366,3.65,26.55,26.76
3274,サバラン,133,343,5.59,19.96,32.04
3275,パンプキンパイ,116.72,338,5.54,21.74,28.9
3276,ミモザケーキ,117.3,338,7.44,19.81,31.34
3277,レモンタルト,118.7,335,6.2,19.1,33.12
3278,アップルパイ,161,330,3.22,16.86,41.22
3279,チョコフォンデュ,81,325,3.82,23.4,23.9
3280,黒糖くるみ,59.8,323,6.1,27.52,18.14
3281,フォンダンショコラ,76,314,4.85,22.59,24
3282,クレームブリュレ,83,294,3.55,25.18,12.13
3283,アップルタルト,99.8,284,3.17,15.56,32.44
3284,パリブレスト,82.93,284,4.39,21.84,17.09
3285,ソーダブレッド,91,275,6.06,1.78,55.63
3286,パパイヤとマンゴーのタルト,122.7,274,3.34,10.99,39.39
3287,フルーツタルト,126.9,272,3.53,10.96,38.74
3288,いちごタルト,116.1,266,3.42,10.96,37.06
3289,ホットック,91.7,254,5.67,4.71,45.52
3290,デニッシュ,82.4,250,3.39,13.33,28.02
3291,パニーニ,106.5,247,6.17,12.57,26.8
3292,チョコパン,83.5,239,5.93,7.96,34.73
3293,ブルーベリータルト,100.9,237,3.27,10.95,30.86
3294,ミルクレープ,89.2,235,4.19,15.59,18.56
3295,小女子クルミ,60.1,232,6.06,17.46,14.05
3296,ブラマンジェ,87.7,229,6.15,16.16,15.4
3297,シナモンロール,70.5,210,4.84,6.07,32.91
3298,あんみつ,246,209,4.21,0.57,47.48
3299,チョコバナナ,110,189,2.37,7,31.41
3300,ピタパン,76,188,5.53,2.86,33.32
3301,チョコシフォン,57.1,184,4.14,9.77,19.81
3302,ブルーベリーマフィン,61.8,173,2.66,7.83,22.25
3303,チーズ蒸しパン,57,165,5.53,7.62,17.32
3304,おかき,58,164,2.1,5.4,25.15
3305,シュトレン,43,151,3.31,6.16,19.06
3306,金平糖,58.1,116,0,0,30.1
3307,オレンジとグレープフルーツのジュレ,163.8,93,2.1,0.11,22.78
3308,フルーツゼリー,151.5,77,2.09,0.06,18.24
3309,マンゴープリン,80.4,76,1.59,2.74,11.95
3310,ホットヨーグルト,120,62,3.6,3,4.9
3311,クリスプブレッド,19.7,53,1.77,0.53,10.67
3312,抹茶クッキー,11.3,50,0.68,2.79,5.18
3313,マロンクリーム,18,48,0.47,2.09,7.08
3314,グリッシーニ,14,37,0.87,0.95,6.2
3315,ラングドシャ,8,31,0.38,1.69,3.53
3316,焼きまんじゅう,176.2,493,8.65,5.94,98
3317,アイスクレープ,159.3,421,7.15,26.87,36.18
3318,ピーカンパイ,93,373,4.69,24.19,33.06
3319,小倉トースト,115,343,8.17,11.01,52.34
3320,レモンタルト,118.7,335,6.2,19.1,33.12
3321,アップルクランブル,112,330,4.02,17.58,37.95
3322,パンプディング,140,328,13.1,12.21,40.4
3323,パネトーネ,84.5,290,7.33,11.58,35.34
3324,クイニーアマン,75.6,288,3.02,16.68,30.32
3325,かぼちゃケーキ,109.5,281,4.42,17.93,25.02
3326,すあま,100.2,262,2.17,0.32,62.36
3327,ゆべし,76,255,3.98,7.18,44.32
3328,プリンアラモード,175,228,6.35,12.64,22.51
3329,麩菓子,70,222,9.06,0.81,43.98
3330,キャロットケーキ,78.7,220,3.45,9.91,28.11
3331,スコーン,67.2,214,4.29,6.88,32.22
3332,チョコスコーン,57.2,210,3.7,8.96,28.05
3333,マラサダ,60,209,4.44,9.03,26.08
3334,ジンジャーブレッド,63.9,188,3.59,5.11,32.26
3335,バター餅,72.5,177,2.74,3.87,31.26
3336,チュロス,40,149,2.83,4.93,22.67
3337,抹茶カステラ,50,141,3.81,3.37,23.71
3338,サーターアンダギー,32.3,119,2.1,4.06,17.47
3339,芋けんぴ,57.2,118,0.48,4.08,19.8
3340,ブルスケッタ,39.7,115,2.06,6.31,12.43
3341,かぼちゃプリン,89.6,114,4.04,3.41,16.97
3342,プリン,90,113,5.34,4.99,11.35
3343,ちんすこう,20,103,0.8,5.17,12.55
3344,コーヒーフロート,238,88,1.38,2.4,15.66
3345,ショートブレッド,18.1,87,0.83,4.32,10.58
3346,かぼちゃ団子,47.7,79,0.71,1.62,15.45
3347,ポンデケージョ,24.5,77,2.43,3.35,8.86
3348,豆花,134.5,77,5.6,2.5,7.63
3349,マカロン,18.3,69,0.78,2.79,10.09
3350,ゴーヤチップス,52.8,66,0.43,4.84,5.35
3351,スノーボールクッキー,13,60,0.66,2.63,8.08
3352,ごぼうチップス,44,54,0.72,3.04,6.16
3353,コーヒークッキー,10.5,50,0.52,3.03,5.11
3354,チョコチップクッキー,11.3,49,0.61,2.48,5.91
3355,胡麻煎餅,12.5,47,0.94,2.34,5.34
3356,おからクッキー,13.45,47,0.66,2.58,5.13
3357,ポルボロン,9.4,46,0.43,2.58,5.06
3358,チュイール,9.9,43,0.79,2.76,3.95
3359,かき氷,230,39,0.18,0.02,10.35
3360,リーフパイ,7,31,0.32,1.88,2.9
3361,かぼちゃクッキー,9.6,29,0.61,0.95,4.26
3362,かぼちゃ餡,19.4,27,0.3,0.05,6.5
3363,ファッジ,5.1,23,0.17,1,3.13
3364,アーモンドチョコ,4.6,21,0.49,1.39,2.11
3365,ハルヴァ,4.1,20,0.39,1.26,1.82
3366,マンゴーパフェ,218,443,6.74,19.99,60.04
3367,桃のタルト,197.6,411,6.2,20.45,50.31
3368,チョコバナナタルト,118.6,389,5.49,21.4,42.59
3369,リンゴケーキ,105.2,332,3.58,19.22,35.61
3370,桃のケーキ,127.8,317,4.42,19.5,30.15
3371,桃のババロア,168.2,303,5.67,18.54,27.53
3372,マンゴームース,150,278,3.95,20.1,20.63
3373,いちごサンド,116,275,6.29,12.25,35.06
3374,いちごパイ,120,274,4.91,14.14,30.28
3375,チョコバナナケーキ,71.3,264,3.72,14.75,29.78
3376,チョコプリン,98.8,264,4.63,19.35,17.3
3377,いちごババロア,136.2,256,5.73,18.52,16.32
3378,バナナ蒸しパン,100.5,250,5.33,5.71,42.86
3379,マンゴーかき氷,248.8,239,5.95,6.02,42.52
3380,クグロフ,65.7,234,3.95,10.7,30.29
3381,バナナマフィン,73.7,217,3.07,9.98,28.33
3382,いちごムース,100.1,205,4.05,14.64,13.59
3383,いちごプリン,121.8,192,3.62,13.24,14.88
3384,バナナスコーン,65.1,188,3.5,6.5,27.61
3385,チョコバナナマフィン,62.8,183,2.71,8.44,23.53
3386,焼きバナナ,102,166,1.06,9.9,20.27
3387,ふくれ菓子,62.4,165,3.59,1.69,33.26
3388,レモンプリン,89.6,163,3.72,10.74,12.62
3389,安倍川餅,61,160,3.34,1.22,33.18
3390,桃のコンポート,180.7,150,0.7,0.13,36.7
3391,りんごのコンポート,180,148,0.29,0.14,39.11
3392,マンゴーゼリー,150,146,4.43,0.11,33.89
3393,ミルク餅,121.5,143,3.3,3.82,23.94
3394,バナナシフォンケーキ,63.6,139,4.02,5.42,18.41
3395,梨のコンポート,163,135,0.41,0.15,32.8
3396,若鮎,49.4,132,1.97,2.77,24.12
3397,よもぎ団子,67.1,124,3.23,0.31,26.35
3398,パイナップルゼリー,149.5,115,3.6,0.15,26.9
3399,べこもち,45.5,113,1.27,0.17,26.41
3400,梨ジュース,200,102,0.32,0.1,26.22
3401,はっさくゼリー,150,101,2.18,0.12,24.56
3402,ダックワーズ,36.8,95,2.13,3.46,13.86
3403,スイカゼリー,149.8,91,3.34,0.16,21.44
3404,醤油餅,35.4,85,0.97,0.11,20
3405,バナナプリン,91.1,85,3.11,2.03,14.43
3406,桃ゼリー,150,84,1.82,0.08,20.15
3407,ぶどうゼリー,150,80,3.11,0.14,18.47
3408,夏みかんゼリー,149.8,64,2.19,0.1,15.16
3409,バナナクッキー,17,57,0.77,2.1,8.77
3410,にんじんゼリー,83.8,52,0.4,0.08,14.38
3411,コーヒークッキー,10.5,50,0.52,3.03,5.11
3412,いちごクッキー,14.8,48,0.62,2.52,5.4
3413,いちご飴,25.3,42,0.11,0.01,10.94
3414,にんじんクッキー,10.4,39,0.38,2.14,4.29
3415,柚子餅,16.5,35,0.31,0.05,8.34
3416,さつまいもタルト,137.9,432,5.78,22.55,51.88
3417,バナナタルト,116.9,371,6.04,21.21,38.58
3418,オレンジタルト,131.7,360,4.53,17.95,44.11
3419,グレープフルーツタルト,140.8,359,6.1,20.43,37.72
3420,メロンアイス,200,358,6.58,22.1,33.14
3421,レモンメレンゲパイ,135.1,357,7.09,17.23,42.54
3422,ブルーベリーチーズケーキ,104.9,354,4.95,28.5,18.37
3423,レモンチーズケーキ,109.1,352,4.96,28.53,18.2
3424,アーモンドタルト,78.7,352,6.06,23.32,29.77
3425,いちじくタルト,80.7,313,4.96,19.92,28.21
3426,チェリーパイ,107.5,280,4.72,14.13,31.48
3427,クリームチーズタルト,74.2,271,4.73,17.67,22
3428,豆乳チーズケーキ,92.4,246,5.31,17.18,16.76
3429,グレープフルーツケーキ,65.9,213,2.76,11.65,23.49
3430,ブルーベリーケーキ,60.9,212,2.67,11.64,23.34
3431,オレンジケーキ,56.2,209,2.66,11.64,22.66
3432,レモンパウンドケーキ,58.2,208,2.65,11.65,22.73
3433,カマンベールチーズケーキ,59.3,179,7.04,11.14,12
3434,オレンジムース,100.1,169,2.96,11.31,14.45
3435,ほうじ茶プリン,99.9,164,3.53,11.43,11.64
3436,グレープフルーツプリン,89.9,151,3.49,9.74,12.32
3437,レモンシフォンケーキ,68.5,140,3.74,5.59,18.39
3438,牛乳ゼリー,150,132,6.38,5.33,14.66
3439,レモンゼリー,150.1,131,1.91,0.09,32.8
3440,メロンゼリー,150,125,3.18,0.14,29.45
3441,メロンシャーベット,120,119,1.1,0.1,30.3
3442,レモンシャーベット,120.1,114,0.2,0.1,30.36
3443,梅酒ゼリー,150,113,2.06,0.02,17.93
3444,グレープフルーツヨーグルト,205,103,4.55,3.12,14.99
3445,さくらんぼゼリー,149.8,97,2.1,0.13,23.58
3446,グレープフルーツゼリー,150.9,92,2.14,0.08,22.09
3447,スイカゼリー,149.8,91,3.34,0.16,21.44
3448,梅ゼリー,150,90,1.77,0.09,21.44
3449,びわゼリー,150,83,1.82,0.09,19.97
3450,みかんゼリー,150,80,2.22,0.11,18.3
3451,スイカシャーベット,130.5,72,0.69,0.12,18.4
3452,サイダーゼリー,150,71,2.63,0.02,14.99
3453,くるみクッキー,13.7,67,1.02,4.58,5.41
3454,牛乳寒天,89.8,66,2.1,2.39,9.56
3455,アーモンドクッキー,12.7,59,0.95,3.6,5.45
3456,豆乳寒天,89.8,53,2.29,1.26,8.49
3457,ごまクッキー,11.5,51,0.78,2.86,5.23
3458,シナモンクッキー,10.9,47,0.58,2.52,5.14
3459,塩クッキー,10.8,46,0.59,2.47,5.06
3460,豆乳クッキー,11.3,46,0.51,1.73,6.7
3461,いちごチョコ,18,37,0.52,2.06,4.37
3462,紅茶ゼリー,150,35,1.89,0.02,7.08
3463,レモンクッキー,11.3,33,0.42,1.78,3.91
3464,いちじくのコンポート,34.6,30,0.08,0.01,7.65
3465,豆乳おからクッキー,11.2,30,0.75,1.24,3.8
3466,チョコアイス,200,478,10.22,29.38,45.02
3467,バタークリームケーキ,121.45,445,5.03,31.42,34.12
3468,メロンパフェ,218,429,7.04,19.99,55.87
3469,キウイパフェ,211,388,5.8,18.17,51.61
3470,キウイケーキ,147.3,386,4.88,25.34,33.64
3471,ヨーグルトパフェ,318,382,8.46,9.79,66.18
3472,ブルーベリーアイス,201,370,6.57,22.65,34.23
3473,桃アイス,201,364,6.61,22.65,33.17
3474,焼きチョコ,68,342,4.18,17.21,42.07
3475,キウイアイス,200,342,7.1,23.04,25.76
3476,チョコスフレ,94.8,339,5.86,25.03,21.35
3477,キウイタルト,120,335,5.05,15.66,42.6
3478,さつまいもパイ,116.4,322,4.83,16.65,37.05
3479,さつまいもアイス,199.9,312,6.1,8.26,53.09
3480,抹茶チョコ,56,298,5.29,17.37,30.21
3481,さつまいもマフィン,101,297,3.63,14.04,38.52
3482,りんご飴,235,284,0.33,0.16,74.42
3483,さつまいもケーキ,80.75,265,4.31,12.91,31.75
3484,チョコマフィン,67.3,254,3.84,13.21,28.74
3485,チョコパウンドケーキ,58.5,246,3.29,14.06,26.12
3486,キウイパウンドケーキ,80.3,222,2.92,11.66,26.1
3487,豆乳ケーキ,62.8,212,3.07,11.88,22.44
3488,コーヒーケーキ,52.8,206,2.63,11.63,22.07
3489,クリームチーズプリン,105.2,195,7.1,12.91,11.58
3490,ごまプリン,90.4,184,4.87,12.99,12.48
3491,ブルーベリーベーグル,92.6,183,5.53,0.86,36.51
3492,チョコカップケーキ,47.3,165,2.8,9.66,16.81
3493,ほうじ茶プリン,99.9,164,3.53,11.43,11.64
3494,栗羊羹,70.6,157,2.32,0.2,36.63
3495,バナナシャーベット,120,145,0.58,0.1,37.64
3496,トマトシャーベット,197,136,1.18,0.18,34.97
3497,チョコラスク,45.1,133,2.79,6.27,16.65
3498,味噌餅,50,133,2.22,1.18,27.68
3499,ヨーグルトケーキ,86.6,130,4.45,5.7,15.4
3500,キウイシャーベット,120,128,0.52,0.05,32.94
3501,リンゴシャーベット,120,128,0.1,0.05,33.52
3502,ブルーベリーシャーベット,120,126,0.26,0.05,32.62
3503,プルーンヨーグルト,226,124,4.47,3.12,20.77
3504,桃のシャーベット,120,121,0.31,0.05,31.21
3505,チョコマドレーヌ,29,121,2.07,7.82,10.3
3506,グレープフルーツシャーベット,120,120,0.47,0.05,30.9
3507,羊羹,50.4,109,1.96,0.12,25.26
3508,キウイヨーグルト,187,108,4.47,3.09,16.64
3509,さつまいも餅,55.7,98,0.76,2.74,17.41
3510,豆乳プリン,87,95,5.49,4.09,8.64
3511,ヨーグルトプリン,97.5,92,4.85,2.5,12.63
3512,ブルーベリーヨーグルト,140,83,3.79,3.04,10.07
3513,キウイのカキ氷,230,67,0.16,0.02,16.91
3514,金柑の甘露煮,50.1,55,0.09,0.12,13.99
