No,食品名,量(g),カロリー(kcal) ,タンパク質(g),脂質(g),炭水化物(g)
2678,水菜のサラダ,78.5,98,5.9,6.41,4.33
2679,小松菜の胡麻和え,90.8,95,3.44,4.8,10.5
2680,キャベツポタージュ,137.8,94,2.01,6.59,7.28
2681,ゴーヤの肉詰め,78.4,93,4.02,6.99,3.19
2682,にんじんのナムル,84.5,93,0.83,6.86,7.13
2683,にんじんきんぴら,76.7,92,1.19,3.67,10.71
2684,うどのきんぴら,60.5,82,0.89,6.04,5.15
2685,春菊の胡麻和え,71.5,82,3.4,4.82,7.32
2686,ゴーヤサラダ,74.4,79,3.55,6.24,2.53
2687,わけぎの酢味噌和え,76.6,78,6.43,0.89,10.23
2688,高菜炒め,49,73,1.02,4.06,7.44
2689,ねぎぬた,89.3,72,1.62,0.47,15.25
2690,大根のきんぴら,98,72,0.84,4.09,6.95
2691,ほうれん草のナムル,82.1,71,2.32,4.46,6.07
2692,れんこんまんじゅう,48.7,70,1.46,4.02,6.59
2693,モロヘイヤのスープ,150,68,2.63,4.49,5.21
2694,豆苗サラダ,154.5,66,3.38,0.74,12.75
2695,ブロッコリーの胡麻和え,73,59,3.83,2.66,6.89
2696,にんじんのマリネ,87,56,0.58,2.12,8.86
2697,レタススープ,136.6,55,4.77,3.01,1.22
2698,うどの酢味噌和え,68.5,54,1.22,0.31,11.19
2699,ブロッコリーのポタージュ,135.9,53,1.14,3.9,4.06
2700,水菜のスープ,142.5,50,1.87,4,1.78
2701,もやしスープ,163.5,47,2.75,3.34,1.37
2702,モロヘイヤサラダ,148,47,3.02,0.3,9.95
2703,ゴーヤの佃煮,43.5,47,1.56,0.63,8.32
2704,小松菜の煮浸し,134,44,2.84,2.16,2.96
2705,春菊の天ぷら,28.6,44,1.07,3.02,3.07
2706,モロヘイヤの味噌汁,207.5,42,3.34,0.54,7.26
2707,モロヘイヤのおひたし,99.5,41,4.43,0.35,5.91
2708,もやしの味噌汁,194,35,2.33,0.54,5.12
2709,ゴーヤのおひたし,75.6,29,1.54,0.08,5.09
2710,モロヘイヤの天ぷら,15.4,27,0.89,1.69,2.16
2711,ブロッコリーの天ぷら,15.4,26,0.84,1.69,2.05
2712,水菜のおひたし,74.2,26,2.36,0.08,3.89
2713,春菊のおひたし,80.4,23,1.57,0.57,3.06
2714,バジルクリームパスタ,335.5,815,15.13,47.78,74.41
2715,アスパラの肉巻き,182,395,22.06,25.44,15.49
2716,しそ餃子,142,317,10.39,20.05,21.51
2717,さつまいもコロッケ,94.5,284,3.96,17.21,27.59
2718,バジルチキン,127.3,275,19.76,19.87,1.23
2719,マグロとアボカドのタルタル,112,254,14.88,19.57,4.58
2720,バジルサラダ,127.1,252,2.12,25.17,6.58
2721,ぶどうケーキ,91.1,238,3.03,13.46,25.94
2722,焼きアボカド,82,215,1.93,22.13,4.88
2723,どじょう鍋,336,212,17.74,6.82,15.09
2724,アボカドスムージー,200,192,6.44,14.42,10.38
2725,タコしゃぶ,527,179,24.08,4.11,10.49
2726,タコのカルパッチョ,109.3,163,8.84,12.5,3.13
2727,マンゴーアイス,100,159,1.53,8.17,20.7
2728,イカのマリネ,114.2,155,11.11,8.77,6.19
2729,きゅうり炒め,110,154,9.7,10.21,5.07
2730,アボカドとトマトのサラダ,150,146,2.31,13.17,8.1
2731,アスパラベーコン炒め,85.3,129,3.94,11.65,2.75
2732,ガレット,75,128,4.5,6.59,11.89
2733,しそ巻き,27,123,1.45,8.44,10.64
2734,豆腐とアボカドのサラダ,110,119,5.83,9.7,3.37
2735,アボカド納豆,67,118,5.65,8.67,5.99
2736,めかぶ納豆,103,108,8.93,5.3,8.05
2737,イカ納豆,79,106,10.4,2.88,8.21
2738,ピーマン味噌,55,85,1.66,0.15,17.58
2739,ほうれん草の卵とじ,147.3,82,7.1,4.85,2.24
2740,ちくわきゅうり,84,76,7.56,1.22,8.82
2741,ピーマンのきんぴら,54,75,1.01,5.34,4.72
2742,ねぎぬた,89.3,72,1.62,0.47,15.25
2743,くるみバター,12.5,66,1.18,5.5,4.29
2744,ぜんまいの煮物,99.9,63,2.71,2.33,7.74
2745,ガーリックバター,10,62,0.16,6.5,0.45
2746,生姜の佃煮,50,58,1.27,1.14,11.11
2747,いかハンバーグ,50.1,57,6.27,2.19,2.43
2748,かぶの煮物,186.9,56,1.4,0.09,11.36
2749,アスパラの天ぷら,32,52,1.03,4.29,2.47
2750,生姜スープ,166,51,4.81,3.12,0.75
2751,かぶの味噌汁,252,48,2.85,0.6,8.09
2752,かぶのサラダ,179.5,47,1.99,0.18,10.16
2753,にんにく味噌,16.4,35,1.26,0.38,6.11
2754,生姜味噌,15.3,33,0.76,0.24,6.2
2755,ピーマンの佃煮,55,30,0.83,0.08,5.6
2756,柿なます,60,30,0.22,0.07,7.25
2757,アスパラサラダ,97,29,1.53,0.13,6.03
2758,みょうがの甘酢漬け,50.2,26,0.3,0.03,6.1
2759,タコの酢の物,59.3,26,3.36,0.15,2.85
2760,ピーマンサラダ,56,25,0.88,0.11,5.2
2761,ヨーグルトサラダ,63.1,17,0.99,0.45,2.47
2762,フライドガーリック,8.6,17,0.48,0.7,2.1
2763,きゅうりの佃煮,55,12,0.85,0.05,2.58
2764,赤ワイン煮込み,482.5,574,20.89,28.71,22.82
2765,鯛の塩焼き,288,524,58.58,29.17,0.26
2766,すっぽん鍋,713.2,492,33.24,25.6,12.05
2767,鶏肉のトマト煮,289.9,313,22.06,19.8,9.83
